epoch,lr,loss,loss_box,loss_cls,loss_obj,val_mAP_all,val_mAP50,val_mAP_small,seconds
0,0.001,6.201115071773529,0.995618537068367,1.1003500670194626,0.12267228588461876,0.0,0.0,0.0,10.0
1,0.001,5.136189699172974,0.8270441293716431,0.8961099982261658,0.10485901031643152,0.0,0.0,0.0,9.8
2,0.001,3.8752781450748444,0.6397772058844566,0.5921829976141453,0.08420909941196442,0.0,0.0,0.0,10.1
3,0.001,3.4802911579608917,0.5908961407840252,0.45340391993522644,0.07240653689950705,0.0,0.0,0.0,10.5
4,0.001,3.1877353191375732,0.5409533269703388,0.4214324988424778,0.06153615703806281,0.0,0.0,0.0,10.2
5,0.001,2.8671077489852905,0.48790381103754044,0.37433092296123505,0.053257723804563284,0.0010235305594474093,0.007585756835765484,0.0010235305594474093,10.0
