experiment,dataset,protocol,mAP_all,mAP50,mAP75,mAP_small,eval_images,train_epochs,train_seconds,params,notes
exp_a_baseline,synthetic-val,3-class,0.00102,0.00759,0.00012,0.00102,8,6,118.3,2963192,class-agnostic transfer eval (VisDrone→'object')
exp_a_baseline,real-test,class-agnostic,0.00015,0.00104,0.0,0.00015,8,6,118.3,2963192,class-agnostic transfer eval (VisDrone→'object')
exp_b_p2,synthetic-val,3-class,0.00028,0.00145,0.0,0.00028,8,6,266.2,3054264,class-agnostic transfer eval (VisDrone→'object')
exp_b_p2,real-test,class-agnostic,0.00021,0.00147,6e-05,0.00021,8,6,266.2,3054264,class-agnostic transfer eval (VisDrone→'object')
exp_c_p2_nwd,synthetic-val,3-class,0.00238,0.00733,0.00183,0.00238,8,6,216.3,3054264,class-agnostic transfer eval (VisDrone→'object')
exp_c_p2_nwd,real-test,class-agnostic,0.0001,0.00079,0.0,0.0001,8,6,216.3,3054264,class-agnostic transfer eval (VisDrone→'object')
exp_d_p2_nwd_aug,synthetic-val,3-class,0.00384,0.0156,0.0,0.00384,8,6,312.1,3054264,class-agnostic transfer eval (VisDrone→'object')
exp_d_p2_nwd_aug,real-test,class-agnostic,3e-05,0.00029,0.0,3e-05,8,6,312.1,3054264,class-agnostic transfer eval (VisDrone→'object')
