epoch,lr,loss,loss_box,loss_cls,loss_obj,val_mAP_all,val_mAP50,val_mAP_small,seconds
0,0.001,4.41226065158844,0.6568248197436333,1.0551446005702019,0.0729918573051691,3.242826058053072e-07,3.242826058053072e-06,3.242826058053072e-07,21.1
1,0.001,3.5666860044002533,0.5297165662050247,0.8545404896140099,0.06356265256181359,0.0,0.0,0.0,20.7
2,0.001,2.899434596300125,0.44342465326189995,0.6282151155173779,0.054096173495054245,0.0,0.0,0.0,21.8
3,0.001,2.5586203038692474,0.39508217573165894,0.537175640463829,0.046033783815801144,0.0,0.0,0.0,21.1
4,0.001,2.297966867685318,0.35504117235541344,0.4844555892050266,0.0383054269477725,0.0038095238095238095,0.0047619047619047615,0.0038095238095238095,21.2
5,0.001,2.222454249858856,0.3393849618732929,0.4919072613120079,0.033622208749875426,0.002380952380952381,0.007326007326007327,0.002380952380952381,21.6
