epoch,lr,loss,loss_box,loss_cls,loss_obj,val_mAP_all,val_mAP50,val_mAP_small,seconds
0,0.001,5.631273806095123,0.902934804558754,1.0437242910265923,0.07287550251930952,8.62028093495567e-07,4.310140467477836e-06,8.62028093495567e-07,26.8
1,0.001,4.601786643266678,0.7413505464792252,0.8314455971121788,0.06358830677345395,0.0,0.0,0.0,27.5
2,0.001,3.8817716538906097,0.6361844539642334,0.6465254835784435,0.054323951713740826,0.0,0.0,0.0,26.8
3,0.001,3.3050751090049744,0.543004248291254,0.5437575168907642,0.04629627149552107,0.0,0.0,0.0,27.2
4,0.001,3.0019047558307648,0.49657706916332245,0.4796960689127445,0.03932334249839187,2.522279805969887e-05,8.533879501621438e-05,2.522279805969887e-05,27.9
5,0.001,2.821474999189377,0.4639035016298294,0.46754349768161774,0.03441400662995875,0.00027743520205831764,0.0014516006978318537,0.00027743520205831764,26.0
